URL,Start Timecode,End Timecode
https://www.youtube.com/watch?v=L_3KmTevD5o&pp=0gcJCa0JAYcqIYzv,00:03:34.000,00:04:14.199
https://www.youtube.com/watch?v=L_3KmTevD5o&pp=0gcJCa0JAYcqIYzv,00:04:47.600,00:05:07.399
https://www.youtube.com/watch?v=L_3KmTevD5o&pp=0gcJCa0JAYcqIYzv,00:05:08.800,00:05:20.600
https://www.youtube.com/watch?v=L_3KmTevD5o&pp=0gcJCa0JAYcqIYzv,00:06:06.199,00:06:42.600
https://www.youtube.com/watch?v=L_3KmTevD5o&pp=0gcJCa0JAYcqIYzv,00:06:46.399,00:07:04.199
https://www.youtube.com/watch?v=L_3KmTevD5o&pp=0gcJCa0JAYcqIYzv,00:07:50.600,00:08:05.600
https://www.youtube.com/watch?v=L_3KmTevD5o&pp=0gcJCa0JAYcqIYzv,00:09:31.799,00:09:48.799
https://www.youtube.com/watch?v=L_3KmTevD5o&pp=0gcJCa0JAYcqIYzv,00:10:11.399,00:10:38.000
https://www.youtube.com/watch?v=L_3KmTevD5o&pp=0gcJCa0JAYcqIYzv,00:10:41.000,00:10:53.000
https://www.youtube.com/watch?v=L_3KmTevD5o&pp=0gcJCa0JAYcqIYzv,00:12:27.200,00:12:35.799
https://www.youtube.com/watch?v=L_3KmTevD5o&pp=0gcJCa0JAYcqIYzv,00:13:28.000,00:13:42.399
https://www.youtube.com/watch?v=L_3KmTevD5o&pp=0gcJCa0JAYcqIYzv,00:14:14.399,00:14:40.200
https://www.youtube.com/watch?v=L_3KmTevD5o&pp=0gcJCa0JAYcqIYzv,00:15:29.399,00:15:44.200
https://www.youtube.com/watch?v=ZhruqkPeJ6o,00:01:22.799,00:01:33.400
https://www.youtube.com/watch?v=ZhruqkPeJ6o,00:01:43.599,00:01:55.400
https://www.youtube.com/watch?v=ZhruqkPeJ6o,00:02:14.400,00:02:32.199
https://www.youtube.com/watch?v=ZhruqkPeJ6o,00:02:53.599,00:03:04.599
https://www.youtube.com/watch?v=ZhruqkPeJ6o,00:03:44.400,00:03:56.000
https://www.youtube.com/watch?v=ZhruqkPeJ6o,00:05:37.800,00:05:56.600
https://www.youtube.com/watch?v=ZhruqkPeJ6o,00:07:28.600,00:07:37.199
https://www.youtube.com/watch?v=ZhruqkPeJ6o,00:07:49.399,00:08:00.800
https://www.youtube.com/watch?v=ZhruqkPeJ6o,00:09:22.000,00:09:36.600
https://www.youtube.com/watch?v=cjG0m9QUF34,00:05:11.571,00:05:21.088
https://www.youtube.com/watch?v=cjG0m9QUF34,00:09:14.015,00:09:20.527
https://www.youtube.com/watch?v=cjG0m9QUF34,00:12:52.249,00:12:59.428
https://www.youtube.com/watch?v=DM6UVe5jsxA,00:03:23.774,00:03:30.455
https://www.youtube.com/watch?v=DM6UVe5jsxA,00:04:04.028,00:04:12.380
https://www.youtube.com/watch?v=DM6UVe5jsxA,00:05:21.697,00:05:28.879
https://www.youtube.com/watch?v=DM6UVe5jsxA,00:06:03.955,00:06:15.146
https://www.youtube.com/watch?v=DM6UVe5jsxA,00:06:44.042,00:06:51.391
https://www.youtube.com/watch?v=DM6UVe5jsxA,00:08:50.148,00:08:59.836
https://www.youtube.com/watch?v=DM6UVe5jsxA,00:09:01.005,00:09:08.020
https://www.youtube.com/watch?v=u0fFIJapsRY&pp=0gcJCa0JAYcqIYzv,00:06:41.943,00:06:48.456
https://www.youtube.com/watch?v=noWh8SSeRCo,00:01:20.822,00:01:28.504
https://www.youtube.com/watch?v=noWh8SSeRCo,00:04:31.357,00:04:42.546
https://www.youtube.com/watch?v=noWh8SSeRCo,00:10:51.593,00:10:58.439
https://www.youtube.com/watch?v=FvKeHcpps1Y,00:01:56.574,00:02:06.584
https://www.youtube.com/watch?v=FvKeHcpps1Y,00:03:49.812,00:03:58.571
https://www.youtube.com/watch?v=FvKeHcpps1Y,00:04:13.586,00:04:24.639
https://www.youtube.com/watch?v=FvKeHcpps1Y,00:04:47.578,00:04:58.631
https://www.youtube.com/watch?v=FvKeHcpps1Y,00:05:09.684,00:05:21.154
https://www.youtube.com/watch?v=FvKeHcpps1Y,00:06:45.822,00:06:53.746
https://www.youtube.com/watch?v=FvKeHcpps1Y,00:08:46.567,00:08:55.326
https://www.youtube.com/watch?v=FvKeHcpps1Y,00:09:19.308,00:09:28.067
https://www.youtube.com/watch?v=FvKeHcpps1Y,00:11:25.893,00:11:36.529
https://www.youtube.com/watch?v=fkOMupkw5D8,00:03:17.722,00:03:40.266
https://www.youtube.com/watch?v=fkOMupkw5D8,00:07:18.696,00:07:34.894
https://www.youtube.com/watch?v=fkOMupkw5D8,00:10:50.779,00:11:00.799
https://www.youtube.com/watch?v=fkOMupkw5D8,00:11:32.361,00:11:45.053
https://www.youtube.com/watch?v=gssX0xSDb8k,00:07:00.000,00:07:11.600
https://www.youtube.com/watch?v=DUfobESjj6s&pp=0gcJCa0JAYcqIYzv,00:06:56.332,00:07:03.346
https://www.youtube.com/watch?v=akXpn8xHwkY,00:01:52.068,00:02:02.089
https://www.youtube.com/watch?v=akXpn8xHwkY,00:03:26.934,00:03:34.951
https://www.youtube.com/watch?v=akXpn8xHwkY,00:03:47.477,00:03:54.826
https://www.youtube.com/watch?v=akXpn8xHwkY,00:05:56.415,00:06:03.262
https://www.youtube.com/watch?v=akXpn8xHwkY,00:07:03.389,00:07:13.243
https://www.youtube.com/watch?v=akXpn8xHwkY,00:07:26.437,00:07:34.955
https://www.youtube.com/watch?v=akXpn8xHwkY,00:08:37.586,00:08:52.952
https://www.youtube.com/watch?v=akXpn8xHwkY,00:09:53.913,00:10:01.930
https://www.youtube.com/watch?v=iLhFAWKCE0M,00:00:55.115,00:01:01.629
https://www.youtube.com/watch?v=iLhFAWKCE0M,00:03:18.249,00:03:28.270
https://www.youtube.com/watch?v=iLhFAWKCE0M,00:07:42.805,00:07:49.318
https://www.youtube.com/watch?v=iLhFAWKCE0M,00:09:04.476,00:09:14.831
https://www.youtube.com/watch?v=plbqT4dBNwo,00:01:59.494,00:02:07.627
https://www.youtube.com/watch?v=plbqT4dBNwo,00:02:40.368,00:03:00.388
https://www.youtube.com/watch?v=plbqT4dBNwo,00:03:09.981,00:03:57.946
https://www.youtube.com/watch?v=plbqT4dBNwo,00:04:00.448,00:04:17.966
https://www.youtube.com/watch?v=plbqT4dBNwo,00:04:19.842,00:04:55.712
https://www.youtube.com/watch?v=plbqT4dBNwo,00:05:07.807,00:05:18.026
https://www.youtube.com/watch?v=plbqT4dBNwo,00:05:27.201,00:06:29.972
https://www.youtube.com/watch?v=plbqT4dBNwo,00:06:56.040,00:07:04.799
https://www.youtube.com/watch?v=plbqT4dBNwo,00:07:08.970,00:07:20.231
https://www.youtube.com/watch?v=plbqT4dBNwo,00:07:34.620,00:07:45.673
https://www.youtube.com/watch?v=plbqT4dBNwo,00:07:48.176,00:08:34.263
https://www.youtube.com/watch?v=plbqT4dBNwo,00:08:45.942,00:09:08.256
https://www.youtube.com/watch?v=plbqT4dBNwo,00:09:10.549,00:09:26.816
https://www.youtube.com/watch?v=plbqT4dBNwo,00:09:30.778,00:09:55.594
https://www.youtube.com/watch?v=plbqT4dBNwo,00:10:09.775,00:10:21.037
https://www.youtube.com/watch?v=plbqT4dBNwo,00:10:31.672,00:10:41.057
https://www.youtube.com/watch?v=plbqT4dBNwo,00:11:09.001,00:11:30.481
https://www.youtube.com/watch?v=plbqT4dBNwo,00:12:09.895,00:12:34.295
https://www.youtube.com/watch?v=plbqT4dBNwo,00:12:42.636,00:13:15.586
https://www.youtube.com/watch?v=plbqT4dBNwo,00:13:33.938,00:13:43.739
https://www.youtube.com/watch?v=plbqT4dBNwo,00:13:47.284,00:14:01.257
https://www.youtube.com/watch?v=plbqT4dBNwo,00:14:26.907,00:14:59.648
https://www.youtube.com/watch?v=plbqT4dBNwo,00:15:13.621,00:15:27.176
https://www.youtube.com/watch?v=plbqT4dBNwo,00:15:30.304,00:15:45.319
https://www.youtube.com/watch?v=plbqT4dBNwo,00:15:45.736,00:15:56.789
https://www.youtube.com/watch?v=plbqT4dBNwo,00:15:57.206,00:16:24.525
https://www.youtube.com/watch?v=plbqT4dBNwo,00:16:32.658,00:17:16.660
https://www.youtube.com/watch?v=plbqT4dBNwo,00:17:17.286,00:17:31.675
https://www.youtube.com/watch?v=plbqT4dBNwo,00:17:36.054,00:17:54.198
https://www.youtube.com/watch?v=plbqT4dBNwo,00:17:57.743,00:18:06.919
https://www.youtube.com/watch?v=plbqT4dBNwo,00:18:13.175,00:18:27.147
https://www.youtube.com/watch?v=plbqT4dBNwo,00:18:32.778,00:19:25.122
https://www.youtube.com/watch?v=plbqT4dBNwo,00:19:26.164,00:19:34.089
https://www.youtube.com/watch?v=plbqT4dBNwo,00:19:38.677,00:19:48.687
https://www.youtube.com/watch?v=plbqT4dBNwo,00:20:18.300,00:20:53.543
https://www.youtube.com/watch?v=plbqT4dBNwo,00:22:13.206,00:22:56.166
https://www.youtube.com/watch?v=plbqT4dBNwo,00:22:56.792,00:23:23.902
https://www.youtube.com/watch?v=plbqT4dBNwo,00:23:25.570,00:23:43.922
https://www.youtube.com/watch?v=plbqT4dBNwo,00:24:21.042,00:25:24.648
https://www.youtube.com/watch?v=plbqT4dBNwo,00:25:25.065,00:25:52.801
https://www.youtube.com/watch?v=plbqT4dBNwo,00:26:02.811,00:26:10.735
https://www.youtube.com/watch?v=plbqT4dBNwo,00:26:11.152,00:26:33.049
https://www.youtube.com/watch?v=DEBo0hG8shE,00:05:40.404,00:05:50.425
https://www.youtube.com/watch?v=DEBo0hG8shE,00:07:18.784,00:07:27.803
https://www.youtube.com/watch?v=IHrGK3Mu5K4,00:00:43.758,00:00:52.944
https://www.youtube.com/watch?v=IHrGK3Mu5K4,00:03:53.657,00:04:02.509
https://www.youtube.com/watch?v=IHrGK3Mu5K4,00:06:09.943,00:06:24.140
https://www.youtube.com/watch?v=leaxVE3qF6g,00:25:12.552,00:25:20.894
https://www.youtube.com/watch?v=LKBiHbU63UE,00:02:15.487,00:02:25.176
https://www.youtube.com/watch?v=LKBiHbU63UE,00:04:06.583,00:04:16.941
https://www.youtube.com/watch?v=LKBiHbU63UE,00:08:17.844,00:08:25.028
https://www.youtube.com/watch?v=d7IVBOBd3BI,00:01:40.599,00:02:00.599
https://www.youtube.com/watch?v=lbLVjwq_J3o,00:03:35.006,00:03:44.390
https://www.youtube.com/watch?v=lbLVjwq_J3o,00:04:01.699,00:04:13.586
https://www.youtube.com/watch?v=I_bKcljIzU4,00:00:55.263,00:01:26.336
https://www.youtube.com/watch?v=I_bKcljIzU4,00:01:38.848,00:03:06.436
https://www.youtube.com/watch?v=I_bKcljIzU4,00:03:18.114,00:04:03.368
https://www.youtube.com/watch?v=I_bKcljIzU4,00:04:08.581,00:05:09.267
https://www.youtube.com/watch?v=I_bKcljIzU4,00:05:23.031,00:06:34.352
https://www.youtube.com/watch?v=I_bKcljIzU4,00:06:39.148,00:06:48.324
https://www.youtube.com/watch?v=I_bKcljIzU4,00:06:54.372,00:08:00.271
https://www.youtube.com/watch?v=I_bKcljIzU4,00:08:12.783,00:08:33.012
https://www.youtube.com/watch?v=I_bKcljIzU4,00:08:38.851,00:09:11.384
https://www.youtube.com/watch?v=I_bKcljIzU4,00:09:32.029,00:10:01.642
https://www.youtube.com/watch?v=I_bKcljIzU4,00:10:11.652,00:10:29.795
https://www.youtube.com/watch?v=I_bKcljIzU4,00:10:54.612,00:11:19.220
https://www.youtube.com/watch?v=I_bKcljIzU4,00:11:29.855,00:11:41.951
https://www.youtube.com/watch?v=I_bKcljIzU4,00:11:55.297,00:12:16.152
https://www.youtube.com/watch?v=I_bKcljIzU4,00:12:26.996,00:13:12.041
https://www.youtube.com/watch?v=I_bKcljIzU4,00:13:31.644,00:13:51.038
https://www.youtube.com/watch?v=I_bKcljIzU4,00:13:57.086,00:14:10.224
https://www.youtube.com/watch?v=I_bKcljIzU4,00:14:22.528,00:14:45.259
https://www.youtube.com/watch?v=I_bKcljIzU4,00:15:02.151,00:15:11.952
https://www.youtube.com/watch?v=I_bKcljIzU4,00:15:14.246,00:15:30.512
https://www.youtube.com/watch?v=I_bKcljIzU4,00:16:47.881,00:16:55.806
https://www.youtube.com/watch?v=I_bKcljIzU4,00:17:00.811,00:17:45.022
https://www.youtube.com/watch?v=I_bKcljIzU4,00:17:53.155,00:19:09.481
https://www.youtube.com/watch?v=I_bKcljIzU4,00:19:24.496,00:19:48.478
https://www.youtube.com/watch?v=I_bKcljIzU4,00:20:48.121,00:21:36.294
